model,scenario,region,variable,unit,period,value
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Gas,GW,2035,2207
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2035,31
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2035,37
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Geothermal,GW,2035,63
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Hydro,GW,2035,1661
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Hydro,GW,2035,1707
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Hydro,GW,2035,1917
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Marine,GW,2035,6
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Marine,GW,2035,10
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Marine,GW,2035,15
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2035,465
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2035,459
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Nuclear,GW,2035,540
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Oil,GW,2035,289
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Oil,GW,2035,271
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Oil,GW,2035,269
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Renewables,GW,2035,5359
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Renewables,GW,2035,6120
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Renewables,GW,2035,8443
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2035,2040
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2035,2476
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Solar|PV,GW,2035,3633
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Wind,GW,2035,1369
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Wind,GW,2035,1594
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Wind,GW,2035,2342
