# Kyoto gases by sector
ghg,ghg_sector,sector,subsector,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
CH4,,trn_pass_road_LDV_4W,Large Car and Truck,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Light-Duty Vehicle,Emissions|Kyoto Gases|Energy|Demand|Transportation|Light-Duty Vehicle|Large Car and SUV,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_pass_road_LDV_4W,Car,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Light-Duty Vehicle,Emissions|Kyoto Gases|Energy|Demand|Transportation|Light-Duty Vehicle|Midsize Car,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_pass_road_LDV_4W,Mini Car,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Light-Duty Vehicle,Emissions|Kyoto Gases|Energy|Demand|Transportation|Light-Duty Vehicle|Subcompact Car,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_shipping_intl,International Ship,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Bunkers,Emissions|Kyoto Gases|Energy|Demand|Bunkers|International Shipping,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,UnmanagedLand,ForestFire,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|Land,,,,,,,,,1
CH4,,UnmanagedLand,GrasslandFires,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|Land,,,,,,,,,1
CH4,,UnmanagedLand,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|Land,,,,,,,,,1
CH4,,urban processes,landfills,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Other,,,,,,,,,,,1
CH4,,urban processes,wastewater,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Other,,,,,,,,,,,1
CH4,,urban processes,waste_incineration,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Other,,,,,,,,,,,1
