# Description: per-basin vegetation and soil carbon densities used as emission factors for afforestation/reforestation (AR) carbon storage estimation
# Usage: cdf_lulucf computation
# Source: GCAM v8 ScenMIP - GCAM_land_carbon_info_ScenMIP (Xin Zhao, 2026-05-14) 
region,basin,LandLeaf,veg.carbon.density,soil.carbon.density,mature.age,min.soil.carbon.density,SoilTime
Mexico,MexGulf,UnmanagedPasture_MexGulf,113.666666666667,293.333333333333,20,230.82209975519,25
Mexico,YucatanP,UnmanagedPasture_YucatanP,132,410.666666666667,10,382.44279970928,25
Mexico,MexInt,UnmanagedPasture_MexInt,22,176,10,137.408273331284,25
Mexico,MexCstW,UnmanagedPasture_MexCstW,91.6666666666667,201.666666666667,13,210.716079775734,25
Mexico,Papaloapan,UnmanagedPasture_Papaloapan,91.6666666666667,271.333333333333,23,257.070990838557,25
Mexico,RioLerma,UnmanagedPasture_RioLerma,36.6666666666667,190.666666666667,21,182.365791123127,25
Mexico,RioVerde,UnmanagedPasture_RioVerde,44,238.333333333333,13,218.636248638962,25
Mexico,GrijUsuR,UnmanagedPasture_GrijUsuR,128.333333333333,286,22,293.905161320044,25
Mexico,RioBalsas,UnmanagedPasture_RioBalsas,73.3333333333333,234.666666666667,26,213.673526645577,25
Mexico,CntAmer,UnmanagedPasture_CntAmer,25.6666666666667,381.333333333333,35,252.331980075818,25
Mexico,Tehuantpc,UnmanagedPasture_Tehuantpc,102.666666666667,304.333333333333,13,249.227763749469,25
Mexico,California,UnmanagedPasture_California,25.6666666666667,381.333333333333,35,124.079861958168,25
Mexico,UsaColoRS,UnmanagedPasture_UsaColoRS,22,102.666666666667,10,68.2074104096813,25
Mexico,RioGrande,UnmanagedPasture_RioGrande,66,176,10,144.172767234325,25
Middle East,CaspianE,UnmanagedPasture_CaspianE,14.6666666666667,205.333333333333,10,137.829023242077,50
Middle East,CaspianSW,UnmanagedPasture_CaspianSW,14.6666666666667,238.333333333333,10,220.565652618942,50
Middle East,MeditE,UnmanagedPasture_MeditE,66,183.333333333333,11,138.555149263434,50
Middle East,Iran,UnmanagedPasture_Iran,18.3333333333333,146.666666666667,10,101.478370873978,50
Middle East,TigrEuphR,UnmanagedPasture_TigrEuphR,18.3333333333333,176,10,118.863933879897,50
Middle East,PersianGulf,UnmanagedPasture_PersianGulf,14.6666666666667,117.333333333333,10,88.5866551802009,50
Middle East,FarahrudR,UnmanagedPasture_FarahrudR,29.3333333333333,58.6666666666667,10,47.106041526342,50
Middle East,RedSeaE,UnmanagedPasture_RedSeaE,18.3333333333333,117.333333333333,10,88.8514310200401,50
Middle East,ArabianP,UnmanagedPasture_ArabianP,22,113.666666666667,10,72.0345153355762,50
